primaryName,startYear,genre,n
Alec Guinness,1948,Drama,1
Alec Guinness,1949,Comedy,2
Alec Guinness,1950,Comedy,1
Alec Guinness,1950,Drama,1
Alec Guinness,1951,Comedy,2
Alec Guinness,1952,Comedy,1
Alec Guinness,1953,Comedy,1
Alec Guinness,1953,Documentary,1
Alec Guinness,1953,Drama,1
Alec Guinness,1954,Comedy,1
Alec Guinness,1955,Comedy,2
Alec Guinness,1955,Documentary,1
Alec Guinness,1955,Drama,1
Alec Guinness,1955,Short,1
Alec Guinness,1956,Comedy,1
Alec Guinness,1957,Adventure,1
Alec Guinness,1957,Comedy,2
Alec Guinness,1958,Comedy,1
Alec Guinness,1958,Documentary,2
Alec Guinness,1959,Comedy,2
Alec Guinness,1959,Crime,1
Alec Guinness,1960,Drama,1
Alec Guinness,1961,Comedy,1
Alec Guinness,1962,Action,1
Alec Guinness,1962,Adventure,1
Alec Guinness,1964,Comedy,1
Alec Guinness,1964,Drama,1
Alec Guinness,1965,Biography,1
Alec Guinness,1965,Comedy,1
Alec Guinness,1966,Comedy,1
Alec Guinness,1966,Crime,1
Alec Guinness,1967,Documentary,1
Alec Guinness,1967,Drama,1
Alec Guinness,1969,Crime,1
Alec Guinness,1970,Biography,4
Alec Guinness,1970,Documentary,2
Alec Guinness,1970,Drama,2
Alec Guinness,1973,Biography,1
Alec Guinness,1973,Family,2
Alec Guinness,1974,Comedy,1
Alec Guinness,1976,Comedy,1
Alec Guinness,1976,Documentary,1
Alec Guinness,1976,Drama,1
Alec Guinness,1977,Action,1
Alec Guinness,1977,Comedy,1
Alec Guinness,1977,Documentary,1
Alec Guinness,1979,Drama,8
Alec Guinness,1980,Action,1
Alec Guinness,1980,Drama,1
Alec Guinness,1982,Drama,7
Alec Guinness,1983,Biography,1
Alec Guinness,1983,Comedy,1
Alec Guinness,1984,Drama,1
Alec Guinness,1985,Documentary,2
Alec Guinness,1986,Comedy,1
Alec Guinness,1986,Talk-Show,1
Alec Guinness,1987,Drama,1
Alec Guinness,1987,Music,1
Alec Guinness,1987,Reality-TV,1
Alec Guinness,1987,Talk-Show,1
Alec Guinness,1992,Action,1
Alec Guinness,1993,Comedy,1
Alec Guinness,1993,Documentary,1
Alec Guinness,1994,Biography,1
Alec Guinness,1994,Documentary,1
Alec Guinness,1997,Talk-Show,1
Alec Guinness,2001,Documentary,1
Alec Guinness,2002,Animation,1
Alec Guinness,2003,Documentary,1
Alec Guinness,2004,Biography,1
Alec Guinness,2004,Documentary,1
Alec Guinness,2005,Documentary,1
Alec Guinness,2006,Action,1
Alec Guinness,2007,Action,1
Alec Guinness,2008,Comedy,1
Alec Guinness,2008,Short,1
Alec Guinness,2011,Action,1
Alec Guinness,2011,Documentary,1
Alec Guinness,2012,Documentary,2
Alec Guinness,2013,Documentary,1
Alec Guinness,2014,Comedy,1
Alec Guinness,2015,Documentary,1
Alec Guinness,2015,Talk-Show,1
Alec Guinness,2016,Comedy,1
Alec Guinness,2019,Documentary,1
Anthony Daniels,1975,Drama,2
Anthony Daniels,1977,Comedy,1
Anthony Daniels,1977,Documentary,2
Anthony Daniels,1978,History,1
Anthony Daniels,1978,Horror,1
Anthony Daniels,1979,Drama,1
Anthony Daniels,1980,Action,1
Anthony Daniels,1980,Adventure,4
Anthony Daniels,1980,Comedy,2
Anthony Daniels,1980,Documentary,2
Anthony Daniels,1981,Family,1
Anthony Daniels,1982,Comedy,1
Anthony Daniels,1983,Action,1
Anthony Daniels,1983,Documentary,1
Anthony Daniels,1984,Biography,8
Anthony Daniels,1985,Adventure,14
Anthony Daniels,1985,Comedy,1
Anthony Daniels,1986,Adventure,1
Anthony Daniels,1987,Adventure,1
Anthony Daniels,1988,Comedy,2
Anthony Daniels,1989,Comedy,2
Anthony Daniels,1989,Drama,1
Anthony Daniels,1990,Comedy,1
Anthony Daniels,1996,News,1
Anthony Daniels,1997,Adventure,1
Anthony Daniels,1997,Documentary,1
Anthony Daniels,1997,Family,1
Anthony Daniels,1999,Documentary,2
Anthony Daniels,2000,Documentary,1
Anthony Daniels,2001,Comedy,1
Anthony Daniels,2001,Documentary,2
Anthony Daniels,2001,Horror,1
Anthony Daniels,2002,Animation,1
Anthony Daniels,2002,Documentary,1
Anthony Daniels,2002,Sci-Fi,1
Anthony Daniels,2003,Action,1
Anthony Daniels,2003,Animation,1
Anthony Daniels,2004,Action,2
Anthony Daniels,2004,Adventure,1
Anthony Daniels,2004,Animation,1
Anthony Daniels,2004,Documentary,4
Anthony Daniels,2004,News,1
Anthony Daniels,2004,Talk-Show,1
Anthony Daniels,2005,Action,3
Anthony Daniels,2005,Documentary,7
Anthony Daniels,2005,Family,1
Anthony Daniels,2005,Game-Show,1
Anthony Daniels,2006,Action,1
Anthony Daniels,2006,Documentary,1
Anthony Daniels,2006,Game-Show,1
Anthony Daniels,2006,News,1
Anthony Daniels,2006,Thriller,1
Anthony Daniels,2007,Action,1
Anthony Daniels,2008,Action,2
Anthony Daniels,2008,Documentary,2
Anthony Daniels,2009,Documentary,1
Anthony Daniels,2009,News,1
Anthony Daniels,2010,Action,1
Anthony Daniels,2010,Family,1
Anthony Daniels,2011,Action,4
Anthony Daniels,2011,Documentary,1
Anthony Daniels,2012,Action,1
Anthony Daniels,2012,Comedy,2
Anthony Daniels,2012,Sci-Fi,5
Anthony Daniels,2013,Animation,4
Anthony Daniels,2013,Documentary,1
Anthony Daniels,2013,Sci-Fi,1
Anthony Daniels,2013,Talk-Show,2
Anthony Daniels,2014,Animation,4
Anthony Daniels,2014,Comedy,1
Anthony Daniels,2014,Fantasy,1
Anthony Daniels,2014,Talk-Show,2
Anthony Daniels,2015,Action,6
Anthony Daniels,2015,Comedy,1
Anthony Daniels,2015,Documentary,2
Anthony Daniels,2015,News,1
Anthony Daniels,2015,Reality-TV,1
Anthony Daniels,2015,Talk-Show,1
Anthony Daniels,2016,Adventure,1
Anthony Daniels,2016,Animation,2
Anthony Daniels,2016,Documentary,2
Anthony Daniels,2016,Sci-Fi,2
Anthony Daniels,2016,Short,1
Anthony Daniels,2017,Adventure,2
Anthony Daniels,2017,News,1
Anthony Daniels,2017,Reality-TV,4
Anthony Daniels,2017,Sci-Fi,2
Anthony Daniels,2017,Talk-Show,1
Anthony Daniels,2019,News,4
Anthony Daniels,2019,Talk-Show,2
Billy Dee Williams,1959,News,2
Billy Dee Williams,1962,News,1
Billy Dee Williams,1968,Drama,1
Billy Dee Williams,1969,Animation,1
Billy Dee Williams,1969,Crime,2
Billy Dee Williams,1970,Crime,1
Billy Dee Williams,1971,Biography,1
Billy Dee Williams,1972,Action,1
Billy Dee Williams,1972,Biography,1
Billy Dee Williams,1972,Comedy,1
Billy Dee Williams,1972,Documentary,1
Billy Dee Williams,1972,Drama,1
Billy Dee Williams,1973,Action,1
Billy Dee Williams,1973,Comedy,1
Billy Dee Williams,1974,Action,1
Billy Dee Williams,1974,Comedy,1
Billy Dee Williams,1975,Drama,1
Billy Dee Williams,1976,Comedy,4
Billy Dee Williams,1976,Music,1
Billy Dee Williams,1976,Talk-Show,1
Billy Dee Williams,1977,Biography,1
Billy Dee Williams,1977,Comedy,1
Billy Dee Williams,1978,Comedy,2
Billy Dee Williams,1978,Family,1
Billy Dee Williams,1979,Comedy,2
Billy Dee Williams,1979,Drama,1
Billy Dee Williams,1980,Action,1
Billy Dee Williams,1980,Comedy,4
Billy Dee Williams,1980,Crime,1
Billy Dee Williams,1980,Family,1
Billy Dee Williams,1980,Talk-Show,2
Billy Dee Williams,1981,Action,1
Billy Dee Williams,1982,Family,1
Billy Dee Williams,1983,Action,2
Billy Dee Williams,1983,Crime,1
Billy Dee Williams,1983,Documentary,1
Billy Dee Williams,1983,Drama,1
Billy Dee Williams,1984,Action,1
Billy Dee Williams,1984,Crime,1
Billy Dee Williams,1984,Family,1
Billy Dee Williams,1984,News,1
